ID_Cliente,Nome_Cliente,CPF_CNPJ,Limite_Credito
CLI001,Industrias Alpha,10.100.100/0001-01,50000
CLI002,Varejo Total,20.200.200/0001-02,15000
CLI003,Hospital Vida,30.300.300/0001-03,80000
CLI004,Escola Saber,40.400.400/0001-04,10000
CLI005,Banco Futuro,50.500.500/0001-05,200000
CLI006,Construtora Forte,60.600.600/0001-06,120000
CLI007,Tecno Logica,70.700.700/0001-07,45000
CLI008,Supermercado Sol,80.800.800/0001-08,30000
CLI009,Farma Plus,90.900.900/0001-09,25000
CLI010,Hotel Estrela,01.010.010/0001-10,60000
CLI011,Academia Fit,11.111.111/0001-11,5000
CLI012,Padaria Real,22.222.222/0001-22,3000
CLI013,Advocacia Associada,33.333.333/0001-33,15000
CLI014,Moda Fashion,44.444.444/0001-44,12000
CLI015,Pet Shop Amigo,55.555.555/0001-55,8000
CLI016,Auto Pecas Jato,66.666.666/0001-66,40000
CLI017,Restaurante Sabor,77.777.777/0001-77,20000
CLI018,Clinica Sorriso,88.888.888/0001-88,35000
CLI019,Consultoria Meta,99.999.999/0001-99,50000
CLI020,Oficina Mecanica,00.000.000/0001-00,10000
