ID_Transacao,Data,Tipo_Fluxo,ID_Entidade,ID_Produto,Quantidade,Valor_Total,Status_Financeiro,Status_Logistico
T0001,2025-01-01,Saida,CLI005,PROD006,2,11000.00,Pago,Entregue
T0002,2025-01-02,Entrada,FORN001,PROD001,10,8500.00,Pendente,Aguardando
T0003,2025-01-03,Saida,CLI001,PROD005,1,3500.00,Atrasado,Entregue
T0004,2025-01-04,Saida,CLI020,PROD003,5,600.00,Pago,Em Rota
T0005,2025-01-05,Entrada,FORN008,PROD010,50,16000.00,Pago,Entregue
T0006,2025-01-06,Saida,CLI010,PROD042,1,890.00,Pago,Entregue
T0007,2025-01-07,Entrada,FORN015,PROD051,100,2800.00,Pendente,Aguardando
T0008,2025-01-08,Saida,CLI003,PROD106,1,9500.00,Pago,Em Rota
T0009,2025-01-09,Saida,CLI015,PROD012,3,1350.00,Atrasado,Aguardando
T0010,2025-01-10,Entrada,FORN020,PROD121,1,15000.00,Pago,Entregue
T0011,2025-01-11,Saida,CLI007,PROD002,4,1400.00,Pendente,Em Rota
T0012,2025-01-12,Saida,CLI009,PROD085,20,1700.00,Pago,Entregue
T0013,2025-01-13,Entrada,FORN002,PROD022,10,9800.00,Pago,Entregue
T0014,2025-01-14,Saida,CLI018,PROD113,2,1900.00,Pendente,Em Rota
T0015,2025-01-15,Saida,CLI002,PROD033,15,975.00,Pago,Entregue
T0016,2025-01-16,Entrada,FORN011,PROD131,5,725.00,Atrasado,Aguardando
T0017,2025-01-17,Saida,CLI004,PROD009,30,1350.00,Pago,Entregue
T0018,2025-01-18,Entrada,FORN005,PROD189,1,22000.00,Pago,Entregue
T0019,2025-01-19,Saida,CLI012,PROD007,1,1800.00,Pago,Em Rota
T0020,2025-01-20,Saida,CLI008,PROD018,5,1900.00,Pendente,Entregue
