ID_Fornecedor,Nome_Fantasia,CNPJ,Categoria,Lead_Time
FORN001,TechFlow Solucoes,12.345.678/0001-01,Hardware,5
FORN002,SoftPrime Licencas,23.456.789/0001-02,Software,1
FORN003,Office Express,34.567.890/0001-03,Suprimentos,2
FORN004,LogiBrasil Transportes,45.678.901/0001-04,Logistica,3
FORN005,CloudNexus Data,56.789.012/0001-05,Infraestrutura,1
FORN006,Papelaria Central,67.890.123/0001-06,Suprimentos,2
FORN007,CyberSecurity SA,78.901.234/0001-07,Seguranca,7
FORN008,Global Chips,89.012.345/0001-08,Hardware,15
FORN009,Movel Tech,90.123.456/0001-09,Infraestrutura,10
FORN010,DataCenter Pro,01.234.567/0001-10,Software,2
FORN011,Energy Solution,11.222.333/0001-11,Suprimentos,4
FORN012,Fast Delivery,22.333.444/0001-12,Logistica,1
FORN013,Network Master,33.444.555/0001-13,Hardware,6
FORN014,DevTools Inc,44.555.666/0001-14,Software,1
FORN015,Print Smart,55.666.777/0001-15,Suprimentos,3
FORN016,Steel Case,66.777.888/0001-16,Infraestrutura,12
FORN017,BitSafe,77.888.999/0001-17,Seguranca,3
FORN018,Link Direct,88.999.000/0001-18,Logistica,2
FORN019,Mega Storage,99.000.111/0001-19,Hardware,8
FORN020,AI Systems,00.111.222/0001-20,Software,1
