ID_Pedido,Data,Setor,Item,Valor_Unitario,Quantidade,Entidade,Status_Financeiro,Status_Logistico
1,11/1/2025,Faturamento,Almond Milk Yogurt,35,61,Rhycero,Pendente,Em Rota
2,1/22/2026,Faturamento,Chickpea Pancakes,11,60,Thoughtstorm,Atrasado,Em Rota
3,1/3/2026,Compras,Almond Flour Bread Mix,19,92,Twinder,Pendente,Em Rota
4,4/27/2026,Faturamento,Travel Laundry Bag,29,98,Vimbo,Pendente,Aguardando
5,10/29/2025,Compras,Party Mini Dress,43,64,Zoombeat,Atrasado,Em Rota
6,4/12/2026,Faturamento,Plant-Based Cookbook,92,70,Topicshots,Atrasado,Aguardando
7,1/10/2026,Faturamento,Smoked Paprika,34,11,Vinte,Atrasado,Em Rota
8,4/20/2026,Compras,Oven Mitts with Pocket,82,3,Voolith,Pago,Em Rota
9,10/2/2025,Compras,Set of Gardening Gloves with Claws,46,37,Avamm,Pago,Entregue
10,6/1/2025,Compras,Cinnamon Rolls,40,89,Zava,Atrasado,Aguardando
11,4/24/2026,Compras,Avocado Lime Dressing,27,9,Realpoint,Pendente,Em Rota
12,10/29/2025,Compras,Wall Decals for Kids,59,7,Flipopia,Atrasado,Em Rota
13,9/20/2025,Faturamento,Pineapple Salsa,100,32,Bubbletube,Pago,Aguardando
14,12/15/2025,Compras,Veggie Burger Patties,94,82,Muxo,Atrasado,Em Rota
15,6/19/2025,Compras,Organic Black Beans,94,26,Zoovu,Pendente,Aguardando
16,1/27/2026,Compras,Coconut Oil Spray,100,8,Eayo,Atrasado,Aguardando
17,10/22/2025,Compras,Adjustable Window Blind,55,58,Yamia,Pendente,Entregue
18,8/3/2025,Compras,Air Mattress,55,27,Thoughtworks,Pago,Entregue
19,6/6/2025,Compras,Samoas Cookie Mix,17,82,Babbleblab,Pago,Aguardando
20,10/9/2025,Compras,Lemon Basil Pasta Sauce,98,59,Skyble,Pago,Entregue
21,3/31/2026,Faturamento,Dried Fruit Medley,97,65,Yoveo,Atrasado,Entregue
22,7/10/2025,Faturamento,High-Top Leather Boots,43,86,Flashspan,Pendente,Em Rota
23,8/4/2025,Compras,Ground Turkey,81,87,Zoomcast,Pendente,Em Rota
24,12/21/2025,Faturamento,Foot Massager,94,15,Avaveo,Pago,Em Rota
25,8/27/2025,Compras,Whole Grain Hamburger Buns,58,24,Plajo,Pago,Entregue
26,10/25/2025,Compras,Pet First Aid Kit,17,31,Mycat,Atrasado,Aguardando
27,10/18/2025,Compras,Electric Screwdriver,42,51,Jamia,Pendente,Aguardando
28,4/15/2026,Faturamento,Chic Ankle Strap Heels,93,90,Youspan,Pendente,Aguardando
29,11/7/2025,Faturamento,Hot Salsa,65,73,Zooveo,Pendente,Em Rota
30,12/18/2025,Faturamento,Children's Garden Tool Set,65,81,Mydo,Pago,Aguardando
31,5/22/2025,Faturamento,Digital Camera,41,82,Jatri,Pago,Entregue
32,5/18/2025,Faturamento,Falafel Mix,98,80,Gabvine,Pago,Em Rota
33,2/10/2026,Compras,Compact Refrigerator,97,12,Gevee,Pago,Entregue
34,4/24/2026,Compras,Multi-Purpose Scissors,64,42,Rhycero,Atrasado,Aguardando
35,11/15/2025,Faturamento,Travel Organizer,13,19,Skilith,Pendente,Aguardando
36,10/10/2025,Compras,Classic Caesar Dressing,75,25,Kazio,Atrasado,Aguardando
37,5/6/2025,Compras,Folding Table,82,86,Abata,Pago,Aguardando
38,2/27/2026,Faturamento,Fitness Balance Ball,90,9,JumpXS,Pago,Aguardando
39,11/10/2025,Faturamento,Bamboo Cutting Board Set,88,79,Dabtype,Pendente,Entregue
40,12/10/2025,Faturamento,Shredded Cheese,56,96,Dynava,Atrasado,Em Rota
41,11/9/2025,Compras,Coconut Flakes,7,18,Tazzy,Pendente,Entregue
42,5/3/2025,Compras,Vegetarian Stir Fry Sauce,67,94,Zoombox,Pago,Aguardando
43,5/30/2025,Compras,Dishwasher Safe Cutting Board,34,82,Flashdog,Atrasado,Entregue
44,2/13/2026,Faturamento,Customizable Photo Calendar,43,11,Oozz,Pago,Aguardando
45,2/11/2026,Faturamento,Thyme,64,49,Edgeblab,Atrasado,Aguardando
46,9/30/2025,Faturamento,Spicy Snack Mix,59,52,Abata,Atrasado,Em Rota
47,10/5/2025,Faturamento,Roasted Vegetable Medley,66,50,Blogpad,Pago,Aguardando
48,6/26/2025,Faturamento,Deep Tissue Massage Gun,37,80,Rooxo,Pendente,Aguardando
49,10/5/2025,Compras,Herb Garlic Butter,49,78,Realbuzz,Pago,Entregue
50,1/11/2026,Faturamento,Dried Cranberries,52,37,Omba,Atrasado,Entregue
51,4/14/2026,Faturamento,Smart LED Desk Lamp,3,88,Twimm,Pendente,Em Rota
52,4/8/2026,Faturamento,Teriyaki Chicken Wings,61,12,Browsebug,Pago,Aguardando
53,8/27/2025,Faturamento,Dog Training Whistle,19,92,Photojam,Pendente,Aguardando
54,1/18/2026,Compras,Apple Sauce,4,87,Cogibox,Atrasado,Em Rota
55,8/28/2025,Faturamento,Chiffon Blouse,29,98,Eimbee,Pendente,Aguardando
56,8/25/2025,Faturamento,Pepper Jack Cheese Sticks,38,9,Vimbo,Pago,Aguardando
57,7/5/2025,Faturamento,Dual Function Electric Skillet,60,65,Eare,Atrasado,Em Rota
58,9/18/2025,Faturamento,Gaming Headset,95,25,Feedbug,Atrasado,Aguardando
59,9/18/2025,Faturamento,Nutty Granola Clusters,21,95,Pixope,Pago,Entregue
60,8/31/2025,Compras,Ceramic Planter Set,29,100,Tanoodle,Atrasado,Em Rota
61,7/12/2025,Faturamento,Bamboo Utensil Set,57,63,Innojam,Pendente,Entregue
62,10/9/2025,Compras,Bluetooth Shower Speaker,34,90,Vimbo,Atrasado,Em Rota
63,10/1/2025,Compras,Baked Mac and Cheese,65,90,Vinte,Pendente,Em Rota
64,6/7/2025,Compras,Vegan Caesar Dressing,72,86,Myworks,Pendente,Aguardando
